SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,CNT_FAM_MEMBERS,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_EMAIL,REGION_RATING_CLIENT,REG_REGION_NOT_LIVE_REGION,PREV_AMT_CREDIT_mean,PREV_AMT_CREDIT_max,PREV_CNT_PAYMENT_mean,PREV_NFLAG_LAST_APPL_IN_DAY_sum,PREV_DAYS_DECISION_mean,PREV_NAME_CONTRACT_STATUS_Approved_sum,PREV_NAME_CONTRACT_STATUS_Refused_sum,PREV_NAME_CONTRACT_STATUS_Canceled_sum,PREV_NAME_CONTRACT_STATUS_Unused offer_sum,PREV_NAME_CLIENT_TYPE_New_sum,PREV_NAME_CLIENT_TYPE_Repeater_sum,PREV_NAME_CLIENT_TYPE_Refreshed_sum,PREV_NAME_CLIENT_TYPE_XNA_sum,NAME_FAMILY_STATUS_Married,NAME_FAMILY_STATUS_Separated,NAME_FAMILY_STATUS_Single / not married,NAME_FAMILY_STATUS_Widow,NAME_INCOME_TYPE_Public,NAME_INCOME_TYPE_Retired,NAME_INCOME_TYPE_Working,NAME_EDUCATION_TYPE_Lower,NAME_EDUCATION_TYPE_Secondary,NAME_HOUSING_TYPE_Stable,NAME_HOUSING_TYPE_With parents,OCCUPATION_TYPE_Service,OCCUPATION_TYPE_Unknown,OCCUPATION_TYPE_White collar,ORGANIZATION_TYPE_Business,ORGANIZATION_TYPE_Government,ORGANIZATION_TYPE_Health/Education,ORGANIZATION_TYPE_Industry,ORGANIZATION_TYPE_Services,ORGANIZATION_TYPE_Trade,ORGANIZATION_TYPE_Transport
279757,0,0,0,1,0,1,292500,1223010,48631,1125000,-13086,-5467,-7225,3,1,0,1,0,2,0,218779,675000,17,5,-2093,5,0,0,0,1,4,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0
411523,0,0,0,1,1,0,193500,991818,42151,886500,-23119,-1648,-7183,2,0,0,1,0,2,0,586629,983299,28,3,-308,3,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0
300187,0,0,0,0,0,0,121500,808650,24732,675000,-23385,-1648,-11073,1,0,0,1,0,3,0,152489,479844,24,10,-950,4,1,5,0,1,9,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0
315088,0,0,1,0,0,0,157500,604152,25596,540000,-18540,-2103,-3745,1,1,1,1,0,3,0,127485,585000,6,7,-1164,5,0,2,0,0,6,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0
141525,0,0,1,0,0,1,157500,157500,12442,157500,-8715,-1413,-1489,3,1,1,1,0,2,0,205615,652500,16,10,-236,6,3,1,0,1,9,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0
106241,1,0,1,1,1,1,112500,282690,14562,202500,-11279,-508,-2505,3,1,0,1,0,2,0,57604,57604,6,1,-699,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
430813,0,0,0,0,1,0,94500,808650,23305,675000,-22481,-1648,-2240,1,0,0,1,0,3,0,610158,978408,23,6,-707,3,3,0,0,0,6,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
383297,0,0,1,0,1,0,180000,450000,22018,450000,-11892,-915,-3507,1,1,0,1,0,1,0,71363,85401,10,2,-488,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
390800,0,0,0,0,0,0,90000,551079,28984,418500,-8406,-877,-3127,1,1,0,1,0,2,0,44757,44757,12,1,-315,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0
286642,0,0,1,1,1,2,135000,314100,21375,225000,-13192,-1934,-2136,4,1,0,1,0,2,0,37577,103495,13,6,-1507,5,0,1,0,1,3,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0
